aX,aY,aZ,gX,gY,gZ
-0.025,-0.017,1.211,11.719,-0.793,7.263
0.005,-0.039,1.152,18.372,8.911,10.193
0.033,-0.069,1.108,19.653,16.541,12.939
0.037,-0.077,1.075,15.381,20.386,12.939
0.044,-0.084,1.060,8.789,22.522,10.132
0.045,-0.084,1.061,2.380,25.879,7.568
0.047,-0.074,1.048,-1.648,28.870,5.737
0.038,-0.058,1.030,-0.916,30.029,3.906
-0.004,-0.044,1.043,2.808,29.602,2.930
-0.037,-0.033,1.051,8.179,28.870,3.784
-0.040,-0.039,1.036,15.259,29.053,3.845
-0.005,-0.055,1.028,21.851,32.043,3.784
0.031,-0.073,1.024,25.269,37.048,5.188
0.063,-0.086,1.000,23.376,42.053,7.324
0.107,-0.092,0.960,18.188,44.556,8.545
0.161,-0.091,0.921,11.230,42.175,8.118
0.156,-0.067,0.892,4.822,33.997,5.554
0.115,-0.043,0.857,1.099,25.635,3.418
0.079,-0.040,0.842,0.122,20.935,3.296
0.065,-0.042,0.843,1.221,19.043,2.991
0.058,-0.038,0.852,2.747,18.005,1.953
0.057,-0.034,0.863,4.333,17.151,2.075
0.060,-0.050,0.893,5.737,16.418,3.662
0.072,-0.077,0.918,5.066,16.602,5.554
0.114,-0.084,0.930,2.075,16.296,6.165
0.111,-0.072,0.916,-1.709,12.695,5.798
0.098,-0.067,0.879,-4.517,7.751,5.981
0.087,-0.066,0.823,-5.859,2.808,5.554
0.052,-0.060,0.788,-5.920,2.014,5.127
0.024,-0.056,0.774,-4.700,7.935,4.944
0.013,-0.053,0.785,-2.563,16.785,3.906
0.003,-0.053,0.811,-0.305,21.545,1.892
-0.002,-0.056,0.833,1.343,21.484,-0.854
0.026,-0.063,0.849,1.770,19.287,-2.686
0.046,-0.053,0.843,0.427,15.686,-3.967
0.073,-0.045,0.829,-1.648,13.977,-4.028
0.108,-0.049,0.812,-2.319,17.151,-2.441
0.125,-0.046,0.796,-2.319,20.752,-0.366
0.119,-0.044,0.768,-3.174,22.400,1.953
0.089,-0.033,0.733,-4.089,22.827,3.723
0.085,-0.027,0.685,-5.371,24.963,5.127
0.065,-0.028,0.635,-6.592,27.344,6.409
0.052,-0.024,0.597,-6.165,28.076,5.859
0.071,-0.032,0.578,-4.272,29.297,4.333
0.124,-0.061,0.578,-2.686,30.823,2.625
0.148,-0.057,0.585,-3.357,29.724,0.732
0.154,-0.048,0.592,-5.188,27.100,-0.732
0.150,-0.041,0.601,-7.141,25.452,-1.221
0.160,-0.041,0.602,-8.850,24.597,-1.038
0.184,-0.031,0.606,-8.423,23.437,-0.610
0.190,-0.032,0.595,-6.226,22.522,1.221
0.180,-0.037,0.594,-4.150,22.095,3.113
0.151,-0.020,0.573,-3.235,21.790,4.395
0.124,-0.019,0.554,-2.808,21.790,5.676
0.117,-0.025,0.549,-1.343,20.874,5.737
0.118,-0.033,0.550,1.038,18.372,4.944
0.118,-0.040,0.547,2.502,13.977,3.845
0.123,-0.057,0.539,3.052,8.057,3.235
0.140,-0.068,0.537,2.502,2.075,2.930
0.141,-0.065,0.533,1.099,-2.563,2.075
0.134,-0.056,0.535,-0.305,-5.554,1.770
0.133,-0.047,0.538,-0.122,-7.812,1.831
0.136,-0.043,0.539,1.648,-10.620,1.526
0.139,-0.039,0.534,4.639,-14.404,1.099
0.137,-0.032,0.524,8.301,-17.639,0.916
0.136,-0.034,0.520,11.780,-20.569,0.366
0.151,-0.039,0.529,14.221,-23.926,-0.610
0.163,-0.038,0.541,14.771,-27.161,-1.343
0.161,-0.048,0.559,15.198,-29.663,-1.038
0.155,-0.061,0.591,16.907,-31.921,-0.977
0.150,-0.066,0.612,19.226,-32.837,-0.488
0.143,-0.068,0.625,21.606,-30.945,0.366
0.122,-0.066,0.648,24.475,-27.649,0.916
0.100,-0.073,0.680,26.184,-23.865,1.099
0.094,-0.078,0.714,26.184,-21.240,1.099
0.090,-0.082,0.741,23.804,-20.996,1.038
0.091,-0.084,0.759,18.982,-23.499,0.183
0.084,-0.085,0.776,13.000,-25.635,-0.061
0.082,-0.083,0.782,6.653,-26.245,-0.244
0.084,-0.080,0.769,1.648,-25.452,-0.671
0.097,-0.078,0.741,-2.014,-23.010,-1.038
0.084,-0.075,0.706,-2.930,-20.935,-1.709
0.081,-0.077,0.685,-1.526,-18.616,-2.991
0.084,-0.072,0.665,1.526,-15.564,-4.028
0.076,-0.078,0.685,6.226,-9.399,-4.639
0.089,-0.094,0.734,9.155,-2.014,-4.700
0.084,-0.096,0.799,8.423,3.113,-5.005
0.092,-0.108,0.860,4.883,4.028,-5.005
0.117,-0.109,0.895,-0.244,2.014,-4.761
0.155,-0.105,0.890,-5.066,-0.854,-4.395
0.180,-0.090,0.853,-7.385,-4.272,-4.211
0.187,-0.074,0.780,-5.432,-9.766,-4.883
0.187,-0.062,0.721,1.587,-14.771,-6.104
0.173,-0.072,0.702,11.597,-14.465,-6.775
0.148,-0.082,0.698,22.095,-9.888,-7.690
0.141,-0.101,0.728,30.945,-6.042,-8.301
0.115,-0.101,0.807,36.865,-6.409,-8.789
0.112,-0.109,0.911,36.743,-8.850,-8.545
0.129,-0.128,1.011,28.992,-11.597,-7.324
0.139,-0.143,1.077,16.602,-15.991,-5.859
0.137,-0.155,1.084,3.784,-19.897,-3.479
0.150,-0.148,1.049,-4.578,-19.531,-0.610
0.146,-0.140,0.993,-6.409,-14.099,1.770
0.119,-0.117,0.905,-2.136,-5.554,4.272
0.052,-0.089,0.835,7.141,5.371,6.042
-0.000,-0.085,0.813,19.836,17.090,5.249
-0.016,-0.097,0.825,32.898,27.405,2.563
0.003,-0.126,0.887,44.495,32.837,-0.488
0.061,-0.175,1.016,49.927,33.936,-2.258
0.135,-0.224,1.142,45.349,32.166,-3.113
0.178,-0.262,1.218,30.945,25.635,-3.784
0.194,-0.282,1.212,11.230,12.024,-4.517
0.160,-0.264,1.150,-9.460,-3.357,-6.348
0.205,-0.241,1.075,-27.893,-11.230,-10.193
0.159,-0.179,0.987,-39.124,-22.766,-12.756
0.076,-0.145,0.930,-44.067,-33.203,-10.803
-0.005,-0.116,0.876,-44.617,-33.325,-7.629
-0.038,-0.116,0.912,-42.053,-19.226,-5.920
0.009,-0.143,1.000,-38.635,-4.272,-4.028
0.041,-0.164,1.140,-37.720,1.465,-0.916
0.071,-0.180,1.306,-41.138,-4.700,0.427
0.085,-0.169,1.409,-45.349,-19.104,0.244
0.087,-0.144,1.432,-47.424,-29.541,-0.732
0.089,-0.109,1.375,-47.974,-30.212,-1.465
0.083,-0.083,1.281,-46.570,-28.809,-2.625
0.062,-0.072,1.204,-43.823,-28.870,-3.662
0.027,-0.062,1.135,-41.443,-28.625,-4.089
0.000,-0.054,1.100,-39.429,-26.611,-5.432
-0.013,-0.056,1.138,-39.673,-23.315,-6.836
0.010,-0.044,1.206,-41.504,-21.790,-7.874
0.053,-0.022,1.291,-42.419,-21.973,-7.996
0.084,0.014,1.368,-39.429,-23.926,-7.019
0.112,0.028,1.446,-31.799,-24.414,-5.066
0.139,0.011,1.505,-22.034,-23.865,-3.113
0.178,0.002,1.524,-15.381,-22.583,-1.526
0.179,-0.000,1.510,-11.963,-21.362,0.122
0.143,0.000,1.485,-10.193,-20.813,1.770
0.111,0.004,1.462,-9.766,-20.935,2.380
0.081,0.020,1.464,-10.010,-21.606,2.930
