aX,aY,aZ,gX,gY,gZ
-0.669,1.114,2.887,-229.858,-262.390,58.899
-0.521,0.975,3.375,-208.008,-275.452,43.701
-0.422,0.893,3.701,-190.369,-264.893,33.813
-0.469,0.804,3.868,-169.250,-240.967,27.100
-0.498,0.737,4.000,-149.963,-217.896,25.024
-0.327,0.720,4.000,-144.043,-190.796,28.809
-0.127,0.719,4.000,-140.747,-156.067,33.752
0.130,0.716,4.000,-124.146,-123.962,40.100
0.500,0.692,4.000,-103.210,-94.849,43.640
0.785,0.672,4.000,-82.520,-62.866,39.612
1.007,0.626,4.000,-59.692,-29.419,30.334
1.180,0.557,4.000,-37.781,-3.784,16.052
1.247,0.531,4.000,-11.536,16.968,-0.977
1.274,0.503,4.000,17.395,40.344,-15.686
1.255,0.494,4.000,43.274,65.857,-30.334
1.156,0.492,4.000,72.327,86.792,-45.654
0.897,0.472,4.000,105.225,95.642,-62.561
0.555,0.489,4.000,135.254,99.548,-79.346
0.166,0.470,4.000,162.170,105.286,-89.905
-0.225,0.489,3.927,183.411,115.662,-97.961
-0.629,0.526,3.494,199.585,136.597,-102.234
-0.959,0.556,3.138,215.149,162.598,-98.816
-1.272,0.605,2.723,229.309,183.655,-91.431
-1.493,0.655,2.263,241.394,204.346,-83.679
-1.628,0.706,1.771,251.953,225.159,-72.083
-1.675,0.737,1.280,259.949,239.136,-57.861
-1.734,0.737,0.770,264.404,238.464,-44.800
-1.745,0.712,0.287,264.648,220.032,-39.551
-1.726,0.688,-0.172,254.517,181.335,-44.006
-1.682,0.645,-0.605,235.474,134.766,-44.678
-1.561,0.632,-0.937,214.355,106.628,-30.823
-1.300,0.634,-1.132,196.350,106.445,-4.456
-0.978,0.677,-1.265,185.181,119.507,18.982
-0.586,0.799,-1.446,176.025,139.038,31.433
-0.350,0.812,-1.708,171.143,164.917,31.921
-0.473,0.725,-2.602,156.433,197.693,5.432
-0.649,0.616,-3.024,136.414,185.181,-2.625
-0.681,0.528,-3.229,102.356,153.198,-0.183
-0.615,0.507,-3.308,63.904,101.990,5.371
-0.617,0.511,-3.299,29.907,41.138,10.254
-0.596,0.511,-3.150,-4.761,-14.160,15.015
-0.572,0.546,-2.977,-37.476,-61.462,15.808
-0.586,0.573,-2.862,-63.171,-93.872,16.541
-0.595,0.622,-2.746,-88.989,-104.980,20.020
-0.635,0.678,-2.565,-118.958,-98.022,24.170
-0.690,0.714,-2.407,-146.790,-81.299,30.273
-0.857,0.791,-2.287,-169.128,-65.125,36.865
-1.116,0.888,-2.177,-190.796,-62.317,43.274
-1.427,0.939,-1.946,-215.942,-89.172,52.124
-1.619,1.017,-1.586,-240.967,-139.160,59.814
-1.730,1.087,-1.282,-256.653,-189.209,66.833
-1.665,1.228,-0.964,-267.395,-221.375,75.134
-1.595,1.361,-0.518,-280.396,-237.793,78.247
-1.591,1.505,0.109,-296.692,-240.356,76.904
-1.524,1.610,1.042,-313.904,-231.445,81.482
-1.126,1.719,2.222,-326.233,-222.107,90.149
-0.612,1.722,3.406,-325.012,-213.013,92.896
-0.333,1.583,4.000,-304.260,-205.383,86.487
-0.203,1.412,4.000,-265.747,-199.341,75.073
-0.010,1.328,4.000,-219.116,-197.632,69.092
0.329,1.182,4.000,-183.105,-195.984,64.636
0.555,1.064,4.000,-161.255,-180.603,53.406
0.747,0.971,4.000,-129.761,-146.790,47.607
1.007,0.904,4.000,-93.201,-105.164,48.706
1.352,0.863,4.000,-61.584,-64.941,48.279
1.578,0.816,4.000,-32.043,-30.212,40.344
1.721,0.773,4.000,-0.977,-1.404,25.330
